ontology	label	description	url	homepage_url	ols_url	ontology_iri	version_iri	last_loaded
hba	Human Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Human Brain Atlas (HBA) Structure Graph mapped to Uberon.	https://purl.brain-bican.org/ontology/hbao	https://purl.brain-bican.org/ontology/hbao	https://www.ebi.ac.uk/ols4/ontologies/hba	hba	https://purl.brain-bican.org/ontology/hbao/releases/2025-02-10/hbao.owl	2026-03-01T05:11:04.824504374
hcao	Human Cell Atlas Ontology	Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas.	https://www.ebi.ac.uk/ols4/ontologies/hcao		https://www.ebi.ac.uk/ols4/ontologies/hcao	hcao	http://ontology.data.humancellatlas.org/ontologies/hcao/releases/2023-05-16/hcao.owl	2026-03-01T05:23:26.232939011
hgnc	HUGO Gene Nomenclature Committee	The HGNC (HUGO Gene Nomenclature Committee) provides an approved gene name and symbol (short-form abbreviation) for each known human gene.  All approved symbols are stored in the HGNC database, and each symbol is unique. HGNC identifiers refer to records in the HGNC symbol database.	http://www.genenames.org	http://www.genenames.org	https://www.ebi.ac.uk/ols4/ontologies/hgnc	hgnc	https://w3id.org/biopragmatics/resources/hgnc/2026-02-06/hgnc.ofn	2026-03-01T05:26:56.785291538
hgnc.genegroup	HGNC Gene Group	The HGNC (HUGO Gene Nomenclature Committee) provides an approved gene name and symbol (short-form abbreviation) for each known human gene. All approved symbols are stored in the HGNC database, and each symbol is unique. In addition, HGNC also provides a unique numerical ID to identify gene families, providing a display of curated hierarchical relationships between families. Licensed under CC0-1.0.	https://www.genenames.org	https://www.genenames.org	https://www.ebi.ac.uk/ols4/ontologies/hgnc.genegroup			2026-03-01T05:28:00.133492005
hp	Human Phenotype Ontology	The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.	http://www.human-phenotype-ontology.org/	http://www.human-phenotype-ontology.org/	https://www.ebi.ac.uk/ols4/ontologies/hp	hp	http://purl.obolibrary.org/obo/hp/releases/2026-02-16/hp-international.owl	2026-03-01T05:08:53.473659753
hra	Human Reference Atlas (HRA)	The Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and data structures for describing specimens, biological structures, and spatial positions linked to existing ontologies.	https://humanatlas.io	https://humanatlas.io	https://www.ebi.ac.uk/ols4/ontologies/hra	hra		2026-03-01T05:10:55.519684286
hsapdv	Human Developmental Stages	Life cycle stages for Human	https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv	https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv	https://www.ebi.ac.uk/ols4/ontologies/hsapdv	hsapdv	http://purl.obolibrary.org/obo/life-stages/releases/2025-01-23/components/hsapdv.owl	2026-03-01T04:46:43.842141039
hso	Health Surveillance Ontology	"The health Surveillance Ontology (HSO) focuses on ""surveillance system level data"", that is, data outputs from surveillance activities, such as number of samples collected, cases observed, etc. It aims to support One-Health surveillance, covering animal health, public health and food safety surveillance."	https://w3id.org/hso	https://w3id.org/hso	https://www.ebi.ac.uk/ols4/ontologies/hso	hso	http://purl.obolibrary.org/obo/hso/2021-12-13/hso.owl	2026-03-01T04:46:44.013386662
htn	Hypertension Ontology For Clinical Data	An ontology for representing clinical data about hypertension, intended to support classification of patients according to various diagnostic guidelines	https://github.com/aellenhicks/htn_owl	https://github.com/aellenhicks/htn_owl	https://www.ebi.ac.uk/ols4/ontologies/htn	htn		2026-03-01T04:46:44.243079593
iao	Information Artifact Ontology (IAO)	The Information Artifact Ontology (IAO) is an ontology of information entities, originally driven by work by the OBI digital entity and realizable information entity branch.	https://github.com/information-artifact-ontology/IAO/	https://github.com/information-artifact-ontology/IAO/	https://www.ebi.ac.uk/ols4/ontologies/iao	iao	http://purl.obolibrary.org/obo/iao/2022-11-07/iao.owl	2026-03-01T04:46:44.462366323
iceo	ICEO: Ontology of Integrative and Conjugative Elements	A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.	https://github.com/ontoice/ICEO	https://github.com/ontoice/ICEO	https://www.ebi.ac.uk/ols4/ontologies/iceo	iceo		2026-03-01T04:46:46.864085509
ico	Informed Consent Ontology (ICO)	The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.	https://github.com/ICO-ontology/ICO	https://github.com/ICO-ontology/ICO	https://www.ebi.ac.uk/ols4/ontologies/ico	ico	http://purl.obolibrary.org/obo/ico/releases/2026-02-28/ico.owl	2026-03-01T04:46:51.825269644
ictv	ictv		https://www.ebi.ac.uk/ols4/ontologies/ictv		https://www.ebi.ac.uk/ols4/ontologies/ictv	ictv		2026-03-01T05:10:30.425539454
ido	Infectious Disease Ontology	A set of interoperable ontologies that will together provide coverage of the infectious disease domain. IDO core is the upper-level ontology that hosts terms of general relevance across the domain, while extension ontologies host terms to specific to a particular part of the domain.	http://www.bioontology.org/wiki/index.php/Infectious_Disease_Ontology	http://www.bioontology.org/wiki/index.php/Infectious_Disease_Ontology	https://www.ebi.ac.uk/ols4/ontologies/ido	ido	http://purl.obolibrary.org/obo/ido/2017-11-03/ido.owl	2026-03-01T04:46:52.075266212
idocovid19	The COVID-19 Infectious Disease Ontology	The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guidelines, employs the Basic Formal Ontology as its starting point, and covers epidemiology, classification, pathogenesis, and treatment of terms used to represent infection by the SARS-CoV-2 virus strain, and the associated COVID-19 disease.	https://github.com/infectious-disease-ontology-extensions/ido-covid-19	https://github.com/infectious-disease-ontology-extensions/ido-covid-19	https://www.ebi.ac.uk/ols4/ontologies/idocovid19	idocovid19	http://purl.obolibrary.org/obo/2020-21-07/ido-covid-19.owl	2026-03-01T05:23:35.974459643
